82 Pb Lead              Discovery:ancient\nElectronConfig:[Xe]4f14,5d10,6s2,6p2
83 Bi Bismuth           Discovery:ancient\nElectronConfig:[Xe]4f14,5d10,6s2,6p3
84 Po Polonium          Discovery:1898\nElectronConfig:[Xe]4f14,5d10,6s2,6p4
85 At Astatine          Discovery:1940\nElectronConfig:[Xe]4f14,5d10,6s2,6p5
86 Rn Radon             Discovery:1900\nElectronConfig:[Xe]4f14,5d10,6s2,6p6
87 Fr Francium          Discovery:1939\nElectronConfig:[Rn]7s1
88 Ra Radium            Discovery:1898\nElectronConfig:[Rn]7s2
89 Ac Actinium          Discovery:1899\nElectronConfig:[Rn]6d1,7s2
90 Th Thorium           Discovery:1829\nElectronConfig:[Rn]6d2,7s2
91 Pa Protactinium      Discovery:1913\nElectronConfig:[Rn]5f2,6d1,7s2
92 U Uranium            Discovery:1789\nElectronConfig:[Rn]5f3,6d1,7s2
93 Np Neptunium         Discovery:1940\nElectronConfig:[Rn]5f4,6d1,7s2
94 Pu Plutonium         Discovery:1940\nElectronConfig:[Rn]5f6,7s2
95 Am Americium         Discovery:1944\nElectronConfig:[Rn]5f7,7s2
96 Cm Curium            Discovery:1944\n
97 Bk Berkelium         Discovery:1949\n
98 Cf Californium       Discovery:1950\n
99 Es Einsteinium       Discovery:1952\n
100 Fm Fermium          Discovery:1952\n
101 Md Mendelevium      Discovery:1955\n
102 No Nobelium         Discovery:1958\n
103 Lr Lawrencium       Discovery:1961\n
104 Rf Rutherfordium    Discovery:1964\n
105 Db Dubnium          Discovery:1967\n
106 Sg Seaborgium       Discovery:1974\n
107 Bh Bohrium          Discovery:1981\n
108 Hs Hassium          Discovery:1984\n
109 Mt Meitnerium       Discovery:1982\n
